"Fleet","Fleet_Name","Yr","Seas","2dAR off","base2026","No age sel","sigma_down.25","sigma_up.25"
9,"F9_JPLL_A2_Q1_wt",2024,1,58.05,56.822,58.398,58.348,56.078
10,"F10_JPLL_A2_Q2_wt_9624",2000,2,27.105,31.962,26.699,27.848,35.672
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,127.871,126.078,125.468,129.66,121.604
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,249.895,242.075,211.013,243.703,247.384
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,15.052,16.318,15.593,15.674,16.684
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,182.755,251.995,204.475,217.69,273.443
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,72.986,87.364,72.53,81.351,89.717
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,104.247,100.931,102.816,103.19,98.532
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,76.611,90.262,78.74,83.907,94.562
10,"F10_JPLL_A2_Q2_wt_9624",2008,2,66.829,67.915,72.356,67.489,67.695
10,"F10_JPLL_A2_Q2_wt_9624",2009,2,190.968,161.893,193.246,174.185,156.141
10,"F10_JPLL_A2_Q2_wt_9624",2010,2,590.805,525.026,578.444,546.579,519.957
10,"F10_JPLL_A2_Q2_wt_9624",2011,2,96.936,91.696,92.889,94.633,90.358
10,"F10_JPLL_A2_Q2_wt_9624",2012,2,87.601,79.159,90.288,83.327,74.845
10,"F10_JPLL_A2_Q2_wt_9624",2013,2,387.487,402.801,393.474,392.498,409.163
10,"F10_JPLL_A2_Q2_wt_9624",2014,2,430.6,391.133,384.221,411.716,381.086
10,"F10_JPLL_A2_Q2_wt_9624",2015,2,159.714,142.103,154.342,147.785,139.579
10,"F10_JPLL_A2_Q2_wt_9624",2016,2,363.546,270.121,356.748,319.203,246.311
10,"F10_JPLL_A2_Q2_wt_9624",2017,2,122.569,142.377,121.804,123.597,158.075
10,"F10_JPLL_A2_Q2_wt_9624",2018,2,178.146,164.224,180.035,174.037,153.249
10,"F10_JPLL_A2_Q2_wt_9624",2019,2,116.639,134.782,115.774,118.348,151.686
10,"F10_JPLL_A2_Q2_wt_9624",2020,2,213.238,234.233,215.103,225.364,236.126
10,"F10_JPLL_A2_Q2_wt_9624",2021,2,29.247,33.853,29.627,31.023,36.236
10,"F10_JPLL_A2_Q2_wt_9624",2022,2,101.361,108.289,100.353,105.935,109.366
10,"F10_JPLL_A2_Q2_wt_9624",2023,2,22.4,21.758,21.839,22.192,21.56
10,"F10_JPLL_A2_Q2_wt_9624",2024,2,43.667,51.217,44.967,48.261,52.378
11,"F11_JPLL_A2_Q3_wt",2001,3,164.113,168.548,150.259,164.986,171.321
11,"F11_JPLL_A2_Q3_wt",2002,3,103.658,96.744,100.569,100.587,94.481
11,"F11_JPLL_A2_Q3_wt",2003,3,61.412,73.638,66.11,67.355,77.437
11,"F11_JPLL_A2_Q3_wt",2004,3,101.75,143.924,105.141,123.162,155.638
11,"F11_JPLL_A2_Q3_wt",2005,3,55.419,69.75,57.71,63.243,73.557
11,"F11_JPLL_A2_Q3_wt",2006,3,125.24,155.629,133.469,143.799,161.473
11,"F11_JPLL_A2_Q3_wt",2007,3,84.245,91.723,87.03,90.652,91.379
11,"F11_JPLL_A2_Q3_wt",2008,3,61.517,62.548,65.238,62.284,62.148
11,"F11_JPLL_A2_Q3_wt",2009,3,116.946,98.625,118.153,107.386,94.217
11,"F11_JPLL_A2_Q3_wt",2010,3,138.906,166.487,135.626,149.281,178.689
11,"F11_JPLL_A2_Q3_wt",2011,3,1158.51,1215.13,1076.34,1223.29,1184.86
11,"F11_JPLL_A2_Q3_wt",2012,3,283.606,255.722,278.478,262.525,245.092
11,"F11_JPLL_A2_Q3_wt",2013,3,198.337,222.984,207.497,205.236,236.346
11,"F11_JPLL_A2_Q3_wt",2014,3,194.357,183.141,176.923,191.26,177.702
11,"F11_JPLL_A2_Q3_wt",2015,3,229.632,206.465,230.323,215.58,201.155
11,"F11_JPLL_A2_Q3_wt",2016,3,269.776,222.934,253.194,233.263,218.48
11,"F11_JPLL_A2_Q3_wt",2017,3,221.828,249.628,225.935,217.184,275.444
11,"F11_JPLL_A2_Q3_wt",2018,3,216.341,256.298,213.123,229.434,274.077
11,"F11_JPLL_A2_Q3_wt",2019,3,117.342,136.188,119.583,124.724,144.993
11,"F11_JPLL_A2_Q3_wt",2020,3,8.989,9.339,9.036,9.12,9.515
11,"F11_JPLL_A2_Q3_wt",2021,3,36.184,42.711,36.683,38.285,46.52
11,"F11_JPLL_A2_Q3_wt",2022,3,55.031,55.556,54.589,56.006,55.276
11,"F11_JPLL_A2_Q3_wt",2023,3,20.824,20.874,20.845,21.138,20.653
11,"F11_JPLL_A2_Q3_wt",2024,3,116.093,148.558,118.375,136.398,152.502
12,"F12_JPLL_A2_Q4_wt",1994,4,44.247,44.329,45.657,48.746,40.826
12,"F12_JPLL_A2_Q4_wt",1996,4,47.756,41.36,40.858,41.421,40.249
12,"F12_JPLL_A2_Q4_wt",1997,4,48.234,51.639,47.654,50.928,53.913
12,"F12_JPLL_A2_Q4_wt",1999,4,49.874,62.308,48.382,51.841,71.867
12,"F12_JPLL_A2_Q4_wt",2001,4,172.394,162.81,160.994,168.553,158.722
12,"F12_JPLL_A2_Q4_wt",2002,4,99.373,106.192,107.564,104.023,105.765
12,"F12_JPLL_A2_Q4_wt",2003,4,36.3,42.684,38.004,39.059,45.314
12,"F12_JPLL_A2_Q4_wt",2004,4,56.813,69.198,57.887,63.439,72.289
12,"F12_JPLL_A2_Q4_wt",2005,4,38.624,46.68,39.622,43.286,48.618
12,"F12_JPLL_A2_Q4_wt",2006,4,288.304,267.672,293.225,283.98,254.341
12,"F12_JPLL_A2_Q4_wt",2007,4,67.333,68.391,72.681,67.718,68.582
12,"F12_JPLL_A2_Q4_wt",2008,4,327.551,318.3,347.09,335.941,304.707
12,"F12_JPLL_A2_Q4_wt",2009,4,295.339,269.373,281.614,285.34,258.566
12,"F12_JPLL_A2_Q4_wt",2010,4,92.049,82.144,91.018,87.95,78.201
12,"F12_JPLL_A2_Q4_wt",2011,4,246.084,260.059,256.096,247.452,267.416
12,"F12_JPLL_A2_Q4_wt",2012,4,54.194,56.558,55.674,55.862,57.332
12,"F12_JPLL_A2_Q4_wt",2013,4,45.615,47.546,48.002,46.579,48.182
12,"F12_JPLL_A2_Q4_wt",2014,4,274.825,291.49,303.122,278.448,299.873
12,"F12_JPLL_A2_Q4_wt",2015,4,142.517,126.623,143.59,131.372,124.098
12,"F12_JPLL_A2_Q4_wt",2016,4,132.698,137.932,130.975,125.665,148.279
12,"F12_JPLL_A2_Q4_wt",2017,4,100.96,112.16,101.352,98.449,124.383
