"Fleet","Fleet_Name","Yr","Seas","base2026","F10 and S34","F10 and S37","S36 only"
11,"F11_JPLL_A2_Q3_wt",2005,3,69.75,65.387,69.988,75.112
11,"F11_JPLL_A2_Q3_wt",2006,3,155.629,141.266,159.092,170.471
11,"F11_JPLL_A2_Q3_wt",2007,3,91.723,82.489,96.101,101.771
11,"F11_JPLL_A2_Q3_wt",2008,3,62.548,61.89,61.631,56.299
11,"F11_JPLL_A2_Q3_wt",2009,3,98.625,107.32,102.812,108.728
11,"F11_JPLL_A2_Q3_wt",2010,3,166.487,154.881,159.264,149.003
11,"F11_JPLL_A2_Q3_wt",2011,3,1215.13,1239.16,1056.61,1189.44
11,"F11_JPLL_A2_Q3_wt",2012,3,255.722,254.21,179.275,246.02
11,"F11_JPLL_A2_Q3_wt",2013,3,222.984,197.402,153.215,196.993
11,"F11_JPLL_A2_Q3_wt",2014,3,183.141,208.139,173.974,199.121
11,"F11_JPLL_A2_Q3_wt",2015,3,206.465,205.354,245.211,201.67
11,"F11_JPLL_A2_Q3_wt",2016,3,222.934,229.274,279.401,222.761
11,"F11_JPLL_A2_Q3_wt",2017,3,249.628,236.407,234.287,251.878
11,"F11_JPLL_A2_Q3_wt",2018,3,256.298,229.696,250.447,261.788
11,"F11_JPLL_A2_Q3_wt",2019,3,136.188,120.128,127.646,134.038
11,"F11_JPLL_A2_Q3_wt",2020,3,9.339,9.204,9.411,9.403
11,"F11_JPLL_A2_Q3_wt",2021,3,42.711,40.115,46.825,47.783
11,"F11_JPLL_A2_Q3_wt",2022,3,55.556,57.001,48.008,51.084
11,"F11_JPLL_A2_Q3_wt",2023,3,20.874,21.004,19.48,19.612
11,"F11_JPLL_A2_Q3_wt",2024,3,148.558,141.522,148.029,160.985
12,"F12_JPLL_A2_Q4_wt",1994,4,44.329,43.916,45.295,43.919
12,"F12_JPLL_A2_Q4_wt",1996,4,41.36,42.217,40.801,42.697
12,"F12_JPLL_A2_Q4_wt",1997,4,51.639,51.089,53.191,44.298
12,"F12_JPLL_A2_Q4_wt",1999,4,62.308,61.251,64.936,47.958
12,"F12_JPLL_A2_Q4_wt",2001,4,162.81,167.318,158.9,199.163
12,"F12_JPLL_A2_Q4_wt",2002,4,106.192,109.984,106.371,105.686
12,"F12_JPLL_A2_Q4_wt",2003,4,42.684,43.265,42.179,41.26
12,"F12_JPLL_A2_Q4_wt",2004,4,69.198,67.502,69.594,71.366
12,"F12_JPLL_A2_Q4_wt",2005,4,46.68,44.193,47.292,51.135
12,"F12_JPLL_A2_Q4_wt",2006,4,267.672,259.413,274.697,255.644
12,"F12_JPLL_A2_Q4_wt",2007,4,68.391,69.072,65.965,62.265
12,"F12_JPLL_A2_Q4_wt",2008,4,318.3,305.036,341.545,361.368
12,"F12_JPLL_A2_Q4_wt",2009,4,269.373,287.993,295.463,262.934
12,"F12_JPLL_A2_Q4_wt",2010,4,82.144,85.243,79.876,86.558
12,"F12_JPLL_A2_Q4_wt",2011,4,260.059,247.561,208.717,243.107
12,"F12_JPLL_A2_Q4_wt",2012,4,56.558,54.598,55.006,55.706
12,"F12_JPLL_A2_Q4_wt",2013,4,47.546,44.924,46.823,45.865
12,"F12_JPLL_A2_Q4_wt",2014,4,291.49,256.793,286.899,261.569
12,"F12_JPLL_A2_Q4_wt",2015,4,126.623,125.135,152.392,121.026
12,"F12_JPLL_A2_Q4_wt",2016,4,137.932,134.817,140.225,139.674
12,"F12_JPLL_A2_Q4_wt",2017,4,112.16,107.863,105.18,115.346
12,"F12_JPLL_A2_Q4_wt",2018,4,140.316,126.037,136.185,144.189
12,"F12_JPLL_A2_Q4_wt",2019,4,109.11,105.03,103.191,104.075
12,"F12_JPLL_A2_Q4_wt",2020,4,103.612,105.745,106.027,103.802
12,"F12_JPLL_A2_Q4_wt",2021,4,96.009,89.976,110.633,100.116
12,"F12_JPLL_A2_Q4_wt",2022,4,51.023,52.434,45.346,47.485
12,"F12_JPLL_A2_Q4_wt",2023,4,35.842,36.129,33.544,33.468
12,"F12_JPLL_A2_Q4_wt",2024,4,49.627,51.401,48.55,42.343
17,"F17_JPLL_A4_num",1995,3,65.494,64.565,65.016,67.117
17,"F17_JPLL_A4_num",1995,4,34.538,34.602,34.721,34.709
17,"F17_JPLL_A4_num",1996,2,8.614,8.612,8.602,8.586
17,"F17_JPLL_A4_num",1999,4,32.824,32.71,32.921,33.386
17,"F17_JPLL_A4_num",2000,1,31.048,30.68,31.099,27.498
17,"F17_JPLL_A4_num",2000,2,155.041,152.53,155.008,118.626
17,"F17_JPLL_A4_num",2000,4,33.882,33.385,34.006,29.894
17,"F17_JPLL_A4_num",2001,1,39.156,38.471,39.224,32.944
17,"F17_JPLL_A4_num",2001,2,38.92,38.783,39.112,41.263
17,"F17_JPLL_A4_num",2001,3,139.152,136.668,139.244,116.124
17,"F17_JPLL_A4_num",2001,4,83.833,82.566,83.74,70.472
17,"F17_JPLL_A4_num",2002,1,44.747,44.255,44.605,38.56
17,"F17_JPLL_A4_num",2002,2,144.34,148.141,143.875,170.432
17,"F17_JPLL_A4_num",2002,3,67.714,67.603,67.316,58.408
17,"F17_JPLL_A4_num",2002,4,143.563,144.206,142.15,123.456
17,"F17_JPLL_A4_num",2003,1,150.66,150.536,150.378,130.24
17,"F17_JPLL_A4_num",2003,2,6.824,6.828,6.842,6.769
17,"F17_JPLL_A4_num",2003,3,29.053,28.988,29.409,28.892
17,"F17_JPLL_A4_num",2004,1,80.99,83.402,83.288,76.792
17,"F17_JPLL_A4_num",2004,2,17.052,17.358,17.251,16.599
17,"F17_JPLL_A4_num",2004,3,186.625,187.765,186.787,184.027
17,"F17_JPLL_A4_num",2005,1,147.638,153.73,150.14,135.986
17,"F17_JPLL_A4_num",2005,2,12.844,12.923,12.889,12.738
17,"F17_JPLL_A4_num",2005,3,124.489,126.703,126.425,119.347
17,"F17_JPLL_A4_num",2005,4,40.949,39.159,40.057,44.273
17,"F17_JPLL_A4_num",2006,1,331.031,309.123,320.208,388.661
17,"F17_JPLL_A4_num",2006,2,42.321,40.891,41.795,45.169
17,"F17_JPLL_A4_num",2006,3,92.475,93.379,92.436,93.145
17,"F17_JPLL_A4_num",2006,4,92.663,92.827,92.23,94.69
17,"F17_JPLL_A4_num",2007,1,83.082,81.566,82.636,86.334
17,"F17_JPLL_A4_num",2007,2,26.558,26.418,26.504,26.954
17,"F17_JPLL_A4_num",2007,3,104.897,104.1,105.105,103.637
17,"F17_JPLL_A4_num",2008,1,56.533,53.101,56.734,61.677
17,"F17_JPLL_A4_num",2008,2,34.825,35.026,34.667,34.579
17,"F17_JPLL_A4_num",2008,3,68.9,70.304,68.613,64.622
17,"F17_JPLL_A4_num",2008,4,101.617,100.929,102.631,88.882
17,"F17_JPLL_A4_num",2009,1,51.775,50.89,52.002,49.207
17,"F17_JPLL_A4_num",2009,3,74.948,77.152,74.45,69.705
17,"F17_JPLL_A4_num",2010,1,4.552,4.534,4.543,4.56
17,"F17_JPLL_A4_num",2010,2,1.813,1.811,1.809,1.819
17,"F17_JPLL_A4_num",2010,3,16.752,16.264,16.462,16.057
17,"F17_JPLL_A4_num",2010,4,71.962,69.934,72.54,66.093
17,"F17_JPLL_A4_num",2011,1,115.397,113.863,115.707,110.023
17,"F17_JPLL_A4_num",2011,3,100.051,94.897,87.916,92.625
17,"F17_JPLL_A4_num",2011,4,18.934,18.611,18.419,18.597
17,"F17_JPLL_A4_num",2012,1,39.139,39.691,41.029,40.267
17,"F17_JPLL_A4_num",2012,2,15.923,16.032,16.396,16.13
17,"F17_JPLL_A4_num",2012,3,286.231,277.62,272.887,271.481
17,"F17_JPLL_A4_num",2012,4,101.927,101.654,99.557,100.875
17,"F17_JPLL_A4_num",2013,1,9.374,9.302,8.926,9.262
17,"F17_JPLL_A4_num",2013,2,30.811,31.214,36.015,31.989
