"Fleet","Fleet_Name","Yr","Seas","base2026","cvold=.08","growth est"
9,"F9_JPLL_A2_Q1_wt",2018,1,157.287,145.303,182.968
9,"F9_JPLL_A2_Q1_wt",2019,1,126.819,165.116,104.021
9,"F9_JPLL_A2_Q1_wt",2020,1,24.487,26.595,22.118
9,"F9_JPLL_A2_Q1_wt",2021,1,39.486,32.099,58.728
9,"F9_JPLL_A2_Q1_wt",2022,1,309.004,226.814,356.756
9,"F9_JPLL_A2_Q1_wt",2023,1,32.817,27.485,32.226
9,"F9_JPLL_A2_Q1_wt",2024,1,56.822,67.362,55.844
10,"F10_JPLL_A2_Q2_wt_9624",2000,2,31.962,32.108,31.23
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,126.078,132.431,127.751
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,242.075,143.389,223.442
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,16.318,20.694,17.276
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,251.995,225.643,309.003
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,87.364,77.618,76.07
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,100.931,97.936,102.866
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,90.262,116.726,86.555
10,"F10_JPLL_A2_Q2_wt_9624",2008,2,67.915,109.271,71.74
10,"F10_JPLL_A2_Q2_wt_9624",2009,2,161.893,174.692,152.946
10,"F10_JPLL_A2_Q2_wt_9624",2010,2,525.026,474.459,457.9
10,"F10_JPLL_A2_Q2_wt_9624",2011,2,91.696,180.432,89.568
10,"F10_JPLL_A2_Q2_wt_9624",2012,2,79.159,86.582,85.539
10,"F10_JPLL_A2_Q2_wt_9624",2013,2,402.801,391.151,369.017
10,"F10_JPLL_A2_Q2_wt_9624",2014,2,391.133,404.266,372.623
10,"F10_JPLL_A2_Q2_wt_9624",2015,2,142.103,166.969,143.926
10,"F10_JPLL_A2_Q2_wt_9624",2016,2,270.121,258.222,327.954
10,"F10_JPLL_A2_Q2_wt_9624",2017,2,142.377,170.808,117.892
10,"F10_JPLL_A2_Q2_wt_9624",2018,2,164.224,188.118,188.454
10,"F10_JPLL_A2_Q2_wt_9624",2019,2,134.782,147.879,104.231
10,"F10_JPLL_A2_Q2_wt_9624",2020,2,234.233,238.077,175.02
10,"F10_JPLL_A2_Q2_wt_9624",2021,2,33.853,46.697,25.566
10,"F10_JPLL_A2_Q2_wt_9624",2022,2,108.289,217.849,104.488
10,"F10_JPLL_A2_Q2_wt_9624",2023,2,21.758,40.39,23.502
10,"F10_JPLL_A2_Q2_wt_9624",2024,2,51.217,56.724,59.852
11,"F11_JPLL_A2_Q3_wt",2001,3,168.548,186.29,144.289
11,"F11_JPLL_A2_Q3_wt",2002,3,96.744,94.838,89.385
11,"F11_JPLL_A2_Q3_wt",2003,3,73.638,98.706,80.239
11,"F11_JPLL_A2_Q3_wt",2004,3,143.924,108.085,139.848
11,"F11_JPLL_A2_Q3_wt",2005,3,69.75,79.295,71.054
11,"F11_JPLL_A2_Q3_wt",2006,3,155.629,214.51,164.18
11,"F11_JPLL_A2_Q3_wt",2007,3,91.723,85.448,99.903
11,"F11_JPLL_A2_Q3_wt",2008,3,62.548,123.085,59.651
11,"F11_JPLL_A2_Q3_wt",2009,3,98.625,129.58,97.125
11,"F11_JPLL_A2_Q3_wt",2010,3,166.487,84.926,153.431
11,"F11_JPLL_A2_Q3_wt",2011,3,1215.13,786.856,1421.42
11,"F11_JPLL_A2_Q3_wt",2012,3,255.722,284.746,230.489
11,"F11_JPLL_A2_Q3_wt",2013,3,222.984,257.02,200.291
11,"F11_JPLL_A2_Q3_wt",2014,3,183.141,185.758,192.551
11,"F11_JPLL_A2_Q3_wt",2015,3,206.465,222.023,206.154
11,"F11_JPLL_A2_Q3_wt",2016,3,222.934,189.716,205.394
11,"F11_JPLL_A2_Q3_wt",2017,3,249.628,225.865,223.222
11,"F11_JPLL_A2_Q3_wt",2018,3,256.298,244.113,193.861
11,"F11_JPLL_A2_Q3_wt",2019,3,136.188,153.402,110.389
11,"F11_JPLL_A2_Q3_wt",2020,3,9.339,9.525,8.616
11,"F11_JPLL_A2_Q3_wt",2021,3,42.711,61.614,28.126
11,"F11_JPLL_A2_Q3_wt",2022,3,55.556,108.781,56.935
11,"F11_JPLL_A2_Q3_wt",2023,3,20.874,30.972,23.257
11,"F11_JPLL_A2_Q3_wt",2024,3,148.558,168.072,161.068
12,"F12_JPLL_A2_Q4_wt",1994,4,44.329,39.011,43.265
12,"F12_JPLL_A2_Q4_wt",1996,4,41.36,39.868,36.58
12,"F12_JPLL_A2_Q4_wt",1997,4,51.639,40.678,57.51
12,"F12_JPLL_A2_Q4_wt",1999,4,62.308,49.372,65.632
12,"F12_JPLL_A2_Q4_wt",2001,4,162.81,154.82,140.009
12,"F12_JPLL_A2_Q4_wt",2002,4,106.192,129.594,114.008
12,"F12_JPLL_A2_Q4_wt",2003,4,42.684,62.43,44.627
12,"F12_JPLL_A2_Q4_wt",2004,4,69.198,69.454,68.392
12,"F12_JPLL_A2_Q4_wt",2005,4,46.68,54.092,47.088
12,"F12_JPLL_A2_Q4_wt",2006,4,267.672,201.589,269.5
12,"F12_JPLL_A2_Q4_wt",2007,4,68.391,89.204,67.654
12,"F12_JPLL_A2_Q4_wt",2008,4,318.3,186.081,322.69
12,"F12_JPLL_A2_Q4_wt",2009,4,269.373,609.258,265.442
12,"F12_JPLL_A2_Q4_wt",2010,4,82.144,119.681,87.905
12,"F12_JPLL_A2_Q4_wt",2011,4,260.059,162.208,230.101
12,"F12_JPLL_A2_Q4_wt",2012,4,56.558,55.295,57.613
12,"F12_JPLL_A2_Q4_wt",2013,4,47.546,47.877,47.359
12,"F12_JPLL_A2_Q4_wt",2014,4,291.49,275.876,272.569
12,"F12_JPLL_A2_Q4_wt",2015,4,126.623,132.524,123.992
12,"F12_JPLL_A2_Q4_wt",2016,4,137.932,114.026,124.813
12,"F12_JPLL_A2_Q4_wt",2017,4,112.16,108.141,100.165
12,"F12_JPLL_A2_Q4_wt",2018,4,140.316,140.401,108.012
12,"F12_JPLL_A2_Q4_wt",2019,4,109.11,113.459,92.928
12,"F12_JPLL_A2_Q4_wt",2020,4,103.612,132.329,86.116
12,"F12_JPLL_A2_Q4_wt",2021,4,96.009,58.832,76.88
12,"F12_JPLL_A2_Q4_wt",2022,4,51.023,88.56,50.774
12,"F12_JPLL_A2_Q4_wt",2023,4,35.842,48.945,36.711
12,"F12_JPLL_A2_Q4_wt",2024,4,49.627,58.802,49.742
17,"F17_JPLL_A4_num",1995,3,65.494,55.588,65.658
17,"F17_JPLL_A4_num",1995,4,34.538,33.794,34.982
17,"F17_JPLL_A4_num",1996,2,8.614,8.593,8.64
17,"F17_JPLL_A4_num",1999,4,32.824,30.928,34.227
17,"F17_JPLL_A4_num",2000,1,31.048,25.383,33.598
17,"F17_JPLL_A4_num",2000,2,155.041,136.401,156.752
17,"F17_JPLL_A4_num",2000,4,33.882,32.508,35.832
17,"F17_JPLL_A4_num",2001,1,39.156,41.696,41.29
17,"F17_JPLL_A4_num",2001,2,38.92,40.972,38.052
17,"F17_JPLL_A4_num",2001,3,139.152,158.541,146.615
17,"F17_JPLL_A4_num",2001,4,83.833,89.633,90.364
17,"F17_JPLL_A4_num",2002,1,44.747,46.169,49.353
17,"F17_JPLL_A4_num",2002,2,144.34,142.311,126.324
17,"F17_JPLL_A4_num",2002,3,67.714,77.479,77.144
17,"F17_JPLL_A4_num",2002,4,143.563,175.79,164.436
17,"F17_JPLL_A4_num",2003,1,150.66,182.749,176.326
17,"F17_JPLL_A4_num",2003,2,6.824,7.019,6.893
17,"F17_JPLL_A4_num",2003,3,29.053,33.107,29.419
