"Fleet","Fleet_Name","Yr","Seas","base2026","h=0.75","h=0.80","h=0.85"
9,"F9_JPLL_A2_Q1_wt",1997,1,40.108,40.108,40.108,40.108
9,"F9_JPLL_A2_Q1_wt",1999,1,47.261,47.261,47.261,47.261
9,"F9_JPLL_A2_Q1_wt",2000,1,53.855,53.855,53.855,53.855
9,"F9_JPLL_A2_Q1_wt",2001,1,197.443,197.444,197.444,197.444
9,"F9_JPLL_A2_Q1_wt",2002,1,538.884,538.883,538.883,538.883
9,"F9_JPLL_A2_Q1_wt",2003,1,239.782,239.783,239.783,239.783
9,"F9_JPLL_A2_Q1_wt",2004,1,73.801,73.8,73.8,73.8
9,"F9_JPLL_A2_Q1_wt",2005,1,96.19,96.19,96.19,96.19
9,"F9_JPLL_A2_Q1_wt",2006,1,112.203,112.203,112.203,112.203
9,"F9_JPLL_A2_Q1_wt",2007,1,67.003,67.003,67.003,67.003
9,"F9_JPLL_A2_Q1_wt",2008,1,149.293,149.294,149.294,149.294
9,"F9_JPLL_A2_Q1_wt",2009,1,89.279,89.279,89.279,89.279
9,"F9_JPLL_A2_Q1_wt",2010,1,341.835,341.838,341.838,341.838
9,"F9_JPLL_A2_Q1_wt",2011,1,97.31,97.311,97.311,97.311
9,"F9_JPLL_A2_Q1_wt",2012,1,109.365,109.365,109.365,109.365
9,"F9_JPLL_A2_Q1_wt",2013,1,265.097,265.097,265.097,265.097
9,"F9_JPLL_A2_Q1_wt",2014,1,145.366,145.366,145.366,145.366
9,"F9_JPLL_A2_Q1_wt",2015,1,421.177,421.177,421.177,421.177
9,"F9_JPLL_A2_Q1_wt",2016,1,220.851,220.85,220.85,220.85
9,"F9_JPLL_A2_Q1_wt",2017,1,85.626,85.626,85.626,85.626
9,"F9_JPLL_A2_Q1_wt",2018,1,157.287,157.287,157.287,157.287
9,"F9_JPLL_A2_Q1_wt",2019,1,126.819,126.819,126.819,126.819
9,"F9_JPLL_A2_Q1_wt",2020,1,24.487,24.487,24.487,24.487
9,"F9_JPLL_A2_Q1_wt",2021,1,39.486,39.487,39.487,39.487
9,"F9_JPLL_A2_Q1_wt",2022,1,309.004,309.007,309.007,309.007
9,"F9_JPLL_A2_Q1_wt",2023,1,32.817,32.816,32.816,32.816
9,"F9_JPLL_A2_Q1_wt",2024,1,56.822,56.821,56.821,56.821
10,"F10_JPLL_A2_Q2_wt_9624",2000,2,31.962,31.962,31.962,31.962
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,126.078,126.08,126.08,126.08
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,242.075,242.077,242.077,242.077
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,16.318,16.319,16.319,16.319
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,251.995,251.996,251.996,251.996
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,87.364,87.363,87.363,87.363
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,100.931,100.931,100.931,100.931
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,90.262,90.262,90.262,90.262
10,"F10_JPLL_A2_Q2_wt_9624",2008,2,67.915,67.915,67.915,67.915
10,"F10_JPLL_A2_Q2_wt_9624",2009,2,161.893,161.892,161.892,161.892
10,"F10_JPLL_A2_Q2_wt_9624",2010,2,525.026,525.023,525.023,525.023
10,"F10_JPLL_A2_Q2_wt_9624",2011,2,91.696,91.696,91.696,91.696
10,"F10_JPLL_A2_Q2_wt_9624",2012,2,79.159,79.159,79.159,79.159
10,"F10_JPLL_A2_Q2_wt_9624",2013,2,402.801,402.802,402.802,402.802
10,"F10_JPLL_A2_Q2_wt_9624",2014,2,391.133,391.127,391.127,391.127
10,"F10_JPLL_A2_Q2_wt_9624",2015,2,142.103,142.103,142.103,142.103
10,"F10_JPLL_A2_Q2_wt_9624",2016,2,270.121,270.124,270.124,270.124
10,"F10_JPLL_A2_Q2_wt_9624",2017,2,142.377,142.376,142.376,142.376
10,"F10_JPLL_A2_Q2_wt_9624",2018,2,164.224,164.224,164.224,164.224
10,"F10_JPLL_A2_Q2_wt_9624",2019,2,134.782,134.781,134.781,134.781
10,"F10_JPLL_A2_Q2_wt_9624",2020,2,234.233,234.23,234.23,234.23
10,"F10_JPLL_A2_Q2_wt_9624",2021,2,33.853,33.853,33.853,33.853
10,"F10_JPLL_A2_Q2_wt_9624",2022,2,108.289,108.291,108.291,108.291
10,"F10_JPLL_A2_Q2_wt_9624",2023,2,21.758,21.759,21.759,21.759
10,"F10_JPLL_A2_Q2_wt_9624",2024,2,51.217,51.216,51.216,51.216
11,"F11_JPLL_A2_Q3_wt",2001,3,168.548,168.549,168.549,168.549
11,"F11_JPLL_A2_Q3_wt",2002,3,96.744,96.744,96.744,96.744
11,"F11_JPLL_A2_Q3_wt",2003,3,73.638,73.639,73.639,73.639
11,"F11_JPLL_A2_Q3_wt",2004,3,143.924,143.923,143.923,143.923
11,"F11_JPLL_A2_Q3_wt",2005,3,69.75,69.749,69.749,69.749
11,"F11_JPLL_A2_Q3_wt",2006,3,155.629,155.628,155.628,155.628
11,"F11_JPLL_A2_Q3_wt",2007,3,91.723,91.723,91.723,91.723
11,"F11_JPLL_A2_Q3_wt",2008,3,62.548,62.549,62.549,62.549
11,"F11_JPLL_A2_Q3_wt",2009,3,98.625,98.624,98.624,98.624
11,"F11_JPLL_A2_Q3_wt",2010,3,166.487,166.487,166.487,166.487
11,"F11_JPLL_A2_Q3_wt",2011,3,1215.13,1215.13,1215.13,1215.13
11,"F11_JPLL_A2_Q3_wt",2012,3,255.722,255.723,255.723,255.723
11,"F11_JPLL_A2_Q3_wt",2013,3,222.984,222.986,222.986,222.986
11,"F11_JPLL_A2_Q3_wt",2014,3,183.141,183.139,183.139,183.139
11,"F11_JPLL_A2_Q3_wt",2015,3,206.465,206.466,206.466,206.466
11,"F11_JPLL_A2_Q3_wt",2016,3,222.934,222.934,222.934,222.934
11,"F11_JPLL_A2_Q3_wt",2017,3,249.628,249.627,249.627,249.627
11,"F11_JPLL_A2_Q3_wt",2018,3,256.298,256.297,256.297,256.297
11,"F11_JPLL_A2_Q3_wt",2019,3,136.188,136.187,136.187,136.187
11,"F11_JPLL_A2_Q3_wt",2020,3,9.339,9.339,9.339,9.339
11,"F11_JPLL_A2_Q3_wt",2021,3,42.711,42.711,42.711,42.711
11,"F11_JPLL_A2_Q3_wt",2022,3,55.556,55.556,55.556,55.556
11,"F11_JPLL_A2_Q3_wt",2023,3,20.874,20.874,20.874,20.874
11,"F11_JPLL_A2_Q3_wt",2024,3,148.558,148.556,148.556,148.556
12,"F12_JPLL_A2_Q4_wt",1994,4,44.329,44.33,44.33,44.33
12,"F12_JPLL_A2_Q4_wt",1996,4,41.36,41.36,41.36,41.36
12,"F12_JPLL_A2_Q4_wt",1997,4,51.639,51.638,51.638,51.638
12,"F12_JPLL_A2_Q4_wt",1999,4,62.308,62.307,62.307,62.307
12,"F12_JPLL_A2_Q4_wt",2001,4,162.81,162.811,162.811,162.811
12,"F12_JPLL_A2_Q4_wt",2002,4,106.192,106.193,106.193,106.193
12,"F12_JPLL_A2_Q4_wt",2003,4,42.684,42.684,42.684,42.684
12,"F12_JPLL_A2_Q4_wt",2004,4,69.198,69.198,69.198,69.198
12,"F12_JPLL_A2_Q4_wt",2005,4,46.68,46.68,46.68,46.68
12,"F12_JPLL_A2_Q4_wt",2006,4,267.672,267.672,267.672,267.672
