"Fleet","Fleet_Name","Yr","Seas","base2026","estM","M=0.3","M=consM_consF"
11,"F11_JPLL_A2_Q3_wt",2015,3,206.465,217.864,194.17,207.433
11,"F11_JPLL_A2_Q3_wt",2016,3,222.934,216.943,213.983,221.23
11,"F11_JPLL_A2_Q3_wt",2017,3,249.628,244.392,262.339,257.01
11,"F11_JPLL_A2_Q3_wt",2018,3,256.298,223.328,289.852,260.862
11,"F11_JPLL_A2_Q3_wt",2019,3,136.188,139.058,137.158,139.422
11,"F11_JPLL_A2_Q3_wt",2020,3,9.339,9.438,9.363,9.36
11,"F11_JPLL_A2_Q3_wt",2021,3,42.711,45.43,40.789,43.675
11,"F11_JPLL_A2_Q3_wt",2022,3,55.556,58.669,55.56,56.26
11,"F11_JPLL_A2_Q3_wt",2023,3,20.874,22.183,20.676,21.056
11,"F11_JPLL_A2_Q3_wt",2024,3,148.558,139.498,147.56,149.054
12,"F12_JPLL_A2_Q4_wt",1994,4,44.329,45.619,43.569,43.577
12,"F12_JPLL_A2_Q4_wt",1996,4,41.36,39.754,41.252,41.551
12,"F12_JPLL_A2_Q4_wt",1997,4,51.639,52.774,53.409,51.898
12,"F12_JPLL_A2_Q4_wt",1999,4,62.308,60.132,63.481,62.806
12,"F12_JPLL_A2_Q4_wt",2001,4,162.81,140.248,172.402,161.274
12,"F12_JPLL_A2_Q4_wt",2002,4,106.192,107.942,110.481,107.278
12,"F12_JPLL_A2_Q4_wt",2003,4,42.684,40.243,42.264,43.096
12,"F12_JPLL_A2_Q4_wt",2004,4,69.198,59.41,78.495,68.55
12,"F12_JPLL_A2_Q4_wt",2005,4,46.68,45.681,50.993,46.958
12,"F12_JPLL_A2_Q4_wt",2006,4,267.672,247.572,264.233,260.581
12,"F12_JPLL_A2_Q4_wt",2007,4,68.391,72.741,65.445,68.945
12,"F12_JPLL_A2_Q4_wt",2008,4,318.3,342.296,277.251,321.789
12,"F12_JPLL_A2_Q4_wt",2009,4,269.373,237.44,326.231,270.773
12,"F12_JPLL_A2_Q4_wt",2010,4,82.144,87.742,84.546,82.609
12,"F12_JPLL_A2_Q4_wt",2011,4,260.059,226.853,272.214,250.829
12,"F12_JPLL_A2_Q4_wt",2012,4,56.558,58.677,54.734,57.061
12,"F12_JPLL_A2_Q4_wt",2013,4,47.546,48.196,46.801,47.753
12,"F12_JPLL_A2_Q4_wt",2014,4,291.49,296.833,276.301,290.412
12,"F12_JPLL_A2_Q4_wt",2015,4,126.623,132.267,118.659,126.395
12,"F12_JPLL_A2_Q4_wt",2016,4,137.932,128.071,155.798,138.665
12,"F12_JPLL_A2_Q4_wt",2017,4,112.16,111.057,112.829,115.517
12,"F12_JPLL_A2_Q4_wt",2018,4,140.316,126.833,156.703,144.277
12,"F12_JPLL_A2_Q4_wt",2019,4,109.11,109.729,104.403,110.314
12,"F12_JPLL_A2_Q4_wt",2020,4,103.612,98.854,105.185,103.193
12,"F12_JPLL_A2_Q4_wt",2021,4,96.009,106.171,89.616,95.8
12,"F12_JPLL_A2_Q4_wt",2022,4,51.023,56.119,50.435,51.906
12,"F12_JPLL_A2_Q4_wt",2023,4,35.842,40.252,34.68,36.598
12,"F12_JPLL_A2_Q4_wt",2024,4,49.627,59.389,45.478,50.392
17,"F17_JPLL_A4_num",1995,3,65.494,66.274,67.093,66.136
17,"F17_JPLL_A4_num",1995,4,34.538,33.498,35.949,34.756
17,"F17_JPLL_A4_num",1996,2,8.614,8.652,8.486,8.577
17,"F17_JPLL_A4_num",1999,4,32.824,34.368,31.645,32.752
17,"F17_JPLL_A4_num",2000,1,31.048,33.74,28.574,31.247
17,"F17_JPLL_A4_num",2000,2,155.041,155.88,149.253,154.407
17,"F17_JPLL_A4_num",2000,4,33.882,35.761,32.155,33.766
17,"F17_JPLL_A4_num",2001,1,39.156,42.653,36.538,39.067
17,"F17_JPLL_A4_num",2001,2,38.92,39.7,38.001,38.946
17,"F17_JPLL_A4_num",2001,3,139.152,160.742,123.669,139.211
17,"F17_JPLL_A4_num",2001,4,83.833,96.427,75.121,83.938
17,"F17_JPLL_A4_num",2002,1,44.747,51.126,40.845,44.662
17,"F17_JPLL_A4_num",2002,2,144.34,120.386,163.718,143.517
17,"F17_JPLL_A4_num",2002,3,67.714,80.701,60.16,67.542
17,"F17_JPLL_A4_num",2002,4,143.563,172.382,126.264,143.11
17,"F17_JPLL_A4_num",2003,1,150.66,181.565,129.68,150.851
17,"F17_JPLL_A4_num",2003,2,6.824,6.778,6.829,6.832
17,"F17_JPLL_A4_num",2003,3,29.053,26.977,30.216,29.351
17,"F17_JPLL_A4_num",2004,1,80.99,77.344,82.998,82.875
17,"F17_JPLL_A4_num",2004,2,17.052,17.204,16.98,17.189
17,"F17_JPLL_A4_num",2004,3,186.625,178.518,187.817,188.489
17,"F17_JPLL_A4_num",2005,1,147.638,140.975,160.53,150.609
17,"F17_JPLL_A4_num",2005,2,12.844,12.826,12.814,12.844
17,"F17_JPLL_A4_num",2005,3,124.489,121.397,127.212,124.61
17,"F17_JPLL_A4_num",2005,4,40.949,39.226,41.761,40.681
17,"F17_JPLL_A4_num",2006,1,331.031,326.353,303.877,327.72
17,"F17_JPLL_A4_num",2006,2,42.321,42.354,40.884,42.315
17,"F17_JPLL_A4_num",2006,3,92.475,92.227,89.424,92.48
17,"F17_JPLL_A4_num",2006,4,92.663,92.732,88.737,92.992
17,"F17_JPLL_A4_num",2007,1,83.082,79.812,79.877,82.56
17,"F17_JPLL_A4_num",2007,2,26.558,26.073,26.297,26.549
17,"F17_JPLL_A4_num",2007,3,104.897,112.712,102.673,106.228
17,"F17_JPLL_A4_num",2008,1,56.533,61.369,50.247,58.004
17,"F17_JPLL_A4_num",2008,2,34.825,33.613,34.667,35.002
17,"F17_JPLL_A4_num",2008,3,68.9,67.102,68.87,69.655
17,"F17_JPLL_A4_num",2008,4,101.617,103.747,103.184,103.343
17,"F17_JPLL_A4_num",2009,1,51.775,51.181,51.769,52.262
17,"F17_JPLL_A4_num",2009,3,74.948,69.74,83.175,74.29
17,"F17_JPLL_A4_num",2010,1,4.552,4.552,4.531,4.552
17,"F17_JPLL_A4_num",2010,2,1.813,1.811,1.81,1.812
