"Fleet","Fleet_Name","Yr","Seas","base2023","base2026"
5,"F5_JPLL_A13_Q4_wt",2016,4,96.325,NA
5,"F5_JPLL_A13_Q4_wt",2017,4,278.588,NA
5,"F5_JPLL_A13_Q4_wt",2018,4,185.203,NA
5,"F5_JPLL_A13_Q4_wt",2019,4,48.967,NA
5,"F5_JPLL_A13_Q4_wt",2020,4,64.791,NA
5,"F5_JPLL_A13_Q4_wt",2021,4,42.522,NA
9,"F9_JPLL_A2_Q1_wt",1994,1,NA,61.291
9,"F9_JPLL_A2_Q1_wt",1996,1,NA,58.001
9,"F9_JPLL_A2_Q1_wt",1997,1,NA,40.108
9,"F9_JPLL_A2_Q1_wt",1999,1,NA,47.261
9,"F9_JPLL_A2_Q1_wt",2000,1,NA,53.855
9,"F9_JPLL_A2_Q1_wt",2001,1,NA,197.443
9,"F9_JPLL_A2_Q1_wt",2002,1,NA,538.884
9,"F9_JPLL_A2_Q1_wt",2003,1,NA,239.782
9,"F9_JPLL_A2_Q1_wt",2004,1,NA,73.801
9,"F9_JPLL_A2_Q1_wt",2005,1,NA,96.19
9,"F9_JPLL_A2_Q1_wt",2006,1,NA,112.203
9,"F9_JPLL_A2_Q1_wt",2007,1,NA,67.003
9,"F9_JPLL_A2_Q1_wt",2008,1,NA,149.293
9,"F9_JPLL_A2_Q1_wt",2009,1,NA,89.279
9,"F9_JPLL_A2_Q1_wt",2010,1,NA,341.835
9,"F9_JPLL_A2_Q1_wt",2011,1,NA,97.31
9,"F9_JPLL_A2_Q1_wt",2012,1,NA,109.365
9,"F9_JPLL_A2_Q1_wt",2013,1,NA,265.097
9,"F9_JPLL_A2_Q1_wt",2014,1,NA,145.366
9,"F9_JPLL_A2_Q1_wt",2015,1,NA,421.177
9,"F9_JPLL_A2_Q1_wt",2016,1,NA,220.851
9,"F9_JPLL_A2_Q1_wt",2017,1,NA,85.626
9,"F9_JPLL_A2_Q1_wt",2018,1,NA,157.287
