"Fleet","Fleet_Name","Yr","Seas","base","JPLLA35_USLLA24","JPPLA35_JPLLA13","JPPLA35_TWLLA35","TWLLA35_EPOSF"
4,"F4_JPLL_A13_Q4_wt",2019,4,112.949,112.995,113.966,109.441,114.517
4,"F4_JPLL_A13_Q4_wt",2020,4,78.414,78.523,78.693,77.606,78.888
4,"F4_JPLL_A13_Q4_wt",2021,4,50.001,50.026,50.455,48.81,50.671
4,"F4_JPLL_A13_Q4_wt",2022,4,50.089,49.995,49.424,51.735,49.168
4,"F4_JPLL_A13_Q4_wt",2023,4,25.555,25.617,25.748,24.963,25.892
4,"F4_JPLL_A13_Q4_wt",2024,4,32.06,32.023,31.984,32.265,31.945
9,"F9_JPLL_A2_Q1_wt",1994,1,61.291,58.256,60.188,59.292,59.782
9,"F9_JPLL_A2_Q1_wt",1996,1,58.001,61.311,59.157,56.122,58.91
9,"F9_JPLL_A2_Q1_wt",1997,1,40.108,38.504,39.544,41.351,39.772
9,"F9_JPLL_A2_Q1_wt",1999,1,47.261,47.528,47.185,46.533,47.449
9,"F9_JPLL_A2_Q1_wt",2000,1,53.855,54.306,54.254,52.94,54.318
9,"F9_JPLL_A2_Q1_wt",2001,1,197.443,197.223,201.678,184.49,206.641
9,"F9_JPLL_A2_Q1_wt",2002,1,538.884,526.915,551.099,525.062,560.156
9,"F9_JPLL_A2_Q1_wt",2003,1,239.782,239.522,240.142,245.601,238.533
9,"F9_JPLL_A2_Q1_wt",2004,1,73.801,73.638,75.081,72.814,74.81
9,"F9_JPLL_A2_Q1_wt",2005,1,96.19,95.666,96.309,98.78,95.097
9,"F9_JPLL_A2_Q1_wt",2006,1,112.203,113.845,111.684,117.138,109.005
9,"F9_JPLL_A2_Q1_wt",2007,1,67.003,67.772,64.559,71.079,62.74
9,"F9_JPLL_A2_Q1_wt",2008,1,149.293,150.734,147,155.219,145.588
9,"F9_JPLL_A2_Q1_wt",2009,1,89.279,89.833,88.566,92.632,87.061
9,"F9_JPLL_A2_Q1_wt",2010,1,341.835,347.868,344.747,339.389,344.595
9,"F9_JPLL_A2_Q1_wt",2011,1,97.31,98.011,97.043,97.434,97.354
9,"F9_JPLL_A2_Q1_wt",2012,1,109.365,110.212,108.112,111.257,107.991
9,"F9_JPLL_A2_Q1_wt",2013,1,265.097,267.08,264.269,272.073,258.513
9,"F9_JPLL_A2_Q1_wt",2014,1,145.366,145.507,143.924,151.639,141.782
9,"F9_JPLL_A2_Q1_wt",2015,1,421.177,425.743,427.691,429.213,416.733
9,"F9_JPLL_A2_Q1_wt",2016,1,220.851,218.702,223.297,213.348,224.104
9,"F9_JPLL_A2_Q1_wt",2017,1,85.626,84.601,86.788,83.583,87.398
9,"F9_JPLL_A2_Q1_wt",2018,1,157.287,157.752,160.095,154.03,160.606
9,"F9_JPLL_A2_Q1_wt",2019,1,126.819,126.199,127.079,129.216,124.574
9,"F9_JPLL_A2_Q1_wt",2020,1,24.487,24.464,24.509,24.305,24.647
9,"F9_JPLL_A2_Q1_wt",2021,1,39.486,39.484,39.594,39.852,39.297
9,"F9_JPLL_A2_Q1_wt",2022,1,309.004,309.852,314.167,307.471,312.758
9,"F9_JPLL_A2_Q1_wt",2023,1,32.817,33.044,32.551,33.447,32.395
9,"F9_JPLL_A2_Q1_wt",2024,1,56.822,57.01,55.966,59.898,55.006
10,"F10_JPLL_A2_Q2_wt_9624",2000,2,31.962,32.032,31.993,32.007,31.98
10,"F10_JPLL_A2_Q2_wt_9624",2001,2,126.078,126.769,127.701,121.642,128.171
10,"F10_JPLL_A2_Q2_wt_9624",2002,2,242.075,242.148,241.672,242.076,241.07
10,"F10_JPLL_A2_Q2_wt_9624",2003,2,16.318,16.302,16.284,16.433,16.261
10,"F10_JPLL_A2_Q2_wt_9624",2004,2,251.995,252.543,256.198,245.938,257.401
10,"F10_JPLL_A2_Q2_wt_9624",2005,2,87.364,87.295,86.939,88.255,86.595
10,"F10_JPLL_A2_Q2_wt_9624",2006,2,100.931,101.243,102.29,98.853,102.563
10,"F10_JPLL_A2_Q2_wt_9624",2007,2,90.262,89.81,88.247,94.282,87.655
10,"F10_JPLL_A2_Q2_wt_9624",2008,2,67.915,67.944,68.473,67.007,68.752
10,"F10_JPLL_A2_Q2_wt_9624",2009,2,161.893,162.378,162.558,161.414,162.702
10,"F10_JPLL_A2_Q2_wt_9624",2010,2,525.026,524.975,519.462,539.179,517
10,"F10_JPLL_A2_Q2_wt_9624",2011,2,91.696,91.504,90.555,94.186,90.049
10,"F10_JPLL_A2_Q2_wt_9624",2012,2,79.159,79.556,80.812,76.259,81.546
10,"F10_JPLL_A2_Q2_wt_9624",2013,2,402.801,401.435,398.779,410.025,396.83
10,"F10_JPLL_A2_Q2_wt_9624",2014,2,391.133,390.818,387.876,393.356,386.86
10,"F10_JPLL_A2_Q2_wt_9624",2015,2,142.103,141.91,141.159,144.009,140.818
10,"F10_JPLL_A2_Q2_wt_9624",2016,2,270.121,271.64,276.064,260.665,278.699
10,"F10_JPLL_A2_Q2_wt_9624",2017,2,142.377,141.325,138.431,150.595,136.833
10,"F10_JPLL_A2_Q2_wt_9624",2018,2,164.224,164.285,164.564,163.513,164.725
10,"F10_JPLL_A2_Q2_wt_9624",2019,2,134.782,134.371,132.827,138.798,132.031
10,"F10_JPLL_A2_Q2_wt_9624",2020,2,234.233,233.052,228.412,245.93,225.843
10,"F10_JPLL_A2_Q2_wt_9624",2021,2,33.853,33.797,33.805,34.002,33.814
10,"F10_JPLL_A2_Q2_wt_9624",2022,2,108.289,108.226,107.899,109.401,107.777
10,"F10_JPLL_A2_Q2_wt_9624",2023,2,21.758,21.687,21.406,22.53,21.259
10,"F10_JPLL_A2_Q2_wt_9624",2024,2,51.217,51.392,51.715,50.138,52.015
11,"F11_JPLL_A2_Q3_wt",2001,3,168.548,168.362,166.475,169.357,165.135
11,"F11_JPLL_A2_Q3_wt",2002,3,96.744,96.611,96.24,97.195,96.087
11,"F11_JPLL_A2_Q3_wt",2003,3,73.638,73.46,73.226,74.575,72.947
11,"F11_JPLL_A2_Q3_wt",2004,3,143.924,143.651,143.73,144.639,143.116
11,"F11_JPLL_A2_Q3_wt",2005,3,69.75,69.823,70.087,69.412,70.191
11,"F11_JPLL_A2_Q3_wt",2006,3,155.629,155.74,155.854,155.778,156.166
11,"F11_JPLL_A2_Q3_wt",2007,3,91.723,91.865,91.638,91.898,91.902
11,"F11_JPLL_A2_Q3_wt",2008,3,62.548,62.289,62.037,63.295,61.821
11,"F11_JPLL_A2_Q3_wt",2009,3,98.625,98.932,98.939,98.835,99.028
11,"F11_JPLL_A2_Q3_wt",2010,3,166.487,165.294,163.779,169.782,162.642
11,"F11_JPLL_A2_Q3_wt",2011,3,1215.13,1212.89,1207.73,1245.34,1205.54
11,"F11_JPLL_A2_Q3_wt",2012,3,255.722,254.884,253.445,258.621,252.466
11,"F11_JPLL_A2_Q3_wt",2013,3,222.984,221.656,219.344,230.265,217.55
11,"F11_JPLL_A2_Q3_wt",2014,3,183.141,183.52,184.212,181.54,185.005
11,"F11_JPLL_A2_Q3_wt",2015,3,206.465,205.863,204.762,209.691,203.875
11,"F11_JPLL_A2_Q3_wt",2016,3,222.934,221.978,220.062,226.991,218.712
11,"F11_JPLL_A2_Q3_wt",2017,3,249.628,249.63,249.703,250.618,249.946
11,"F11_JPLL_A2_Q3_wt",2018,3,256.298,255.831,254.745,259.482,254.155
11,"F11_JPLL_A2_Q3_wt",2019,3,136.188,136.391,136.748,135.834,136.991
11,"F11_JPLL_A2_Q3_wt",2020,3,9.339,9.34,9.345,9.337,9.35
11,"F11_JPLL_A2_Q3_wt",2021,3,42.711,42.567,42.443,43.207,42.358
11,"F11_JPLL_A2_Q3_wt",2022,3,55.556,55.416,54.849,57.151,54.574
11,"F11_JPLL_A2_Q3_wt",2023,3,20.874,20.882,20.835,21.056,20.828
11,"F11_JPLL_A2_Q3_wt",2024,3,148.558,148.725,148.594,147.682,148.841
12,"F12_JPLL_A2_Q4_wt",1994,4,44.329,48.025,46.215,42.296,47.113
12,"F12_JPLL_A2_Q4_wt",1996,4,41.36,39.36,40.269,44.117,39.9
12,"F12_JPLL_A2_Q4_wt",1997,4,51.639,52.099,51.752,50.662,51.752
12,"F12_JPLL_A2_Q4_wt",1999,4,62.308,62.63,62.736,61.731,62.849
12,"F12_JPLL_A2_Q4_wt",2001,4,162.81,162.105,159.453,169.403,157.878
12,"F12_JPLL_A2_Q4_wt",2002,4,106.192,106.048,105.905,107.051,105.803
12,"F12_JPLL_A2_Q4_wt",2003,4,42.684,42.541,42.254,43.717,42.009
12,"F12_JPLL_A2_Q4_wt",2004,4,69.198,69.046,68.937,69.985,68.692
12,"F12_JPLL_A2_Q4_wt",2005,4,46.68,46.681,46.781,46.478,46.811
12,"F12_JPLL_A2_Q4_wt",2006,4,267.672,268.452,268.847,265.332,269.467
12,"F12_JPLL_A2_Q4_wt",2007,4,68.391,68.382,68.582,67.882,68.648
12,"F12_JPLL_A2_Q4_wt",2008,4,318.3,319.015,319.188,313.563,319.842
12,"F12_JPLL_A2_Q4_wt",2009,4,269.373,268.243,265.303,281.293,263.435
12,"F12_JPLL_A2_Q4_wt",2010,4,82.144,82.393,82.756,80.96,83.036
12,"F12_JPLL_A2_Q4_wt",2011,4,260.059,260.105,259.85,260.755,259.72
12,"F12_JPLL_A2_Q4_wt",2012,4,56.558,56.63,56.738,56.041,56.809
12,"F12_JPLL_A2_Q4_wt",2013,4,47.546,47.573,47.553,47.536,47.533
12,"F12_JPLL_A2_Q4_wt",2014,4,291.49,290.966,290.172,295.338,289.006
12,"F12_JPLL_A2_Q4_wt",2015,4,126.623,126.338,125.737,128.909,125.204
12,"F12_JPLL_A2_Q4_wt",2016,4,137.932,137.525,136.84,140.83,136.395
12,"F12_JPLL_A2_Q4_wt",2017,4,112.16,111.956,111.7,112.745,111.606
12,"F12_JPLL_A2_Q4_wt",2018,4,140.316,140.109,139.707,141.999,139.539
12,"F12_JPLL_A2_Q4_wt",2019,4,109.11,108.973,108.9,108.847,108.842
12,"F12_JPLL_A2_Q4_wt",2020,4,103.612,103.454,103.331,104.481,103.249
12,"F12_JPLL_A2_Q4_wt",2021,4,96.009,96.433,97.68,91.96,98.385
12,"F12_JPLL_A2_Q4_wt",2022,4,51.023,50.859,50.328,52.725,50.049
12,"F12_JPLL_A2_Q4_wt",2023,4,35.842,35.77,35.544,36.57,35.437
12,"F12_JPLL_A2_Q4_wt",2024,4,49.627,49.537,49.381,50.352,49.24
17,"F17_JPLL_A4_num",1995,3,65.494,67.693,65.362,63.903,64.583
17,"F17_JPLL_A4_num",1995,4,34.538,33.463,34.065,34.919,33.83
17,"F17_JPLL_A4_num",1996,2,8.614,8.602,8.658,8.589,8.694
17,"F17_JPLL_A4_num",1999,4,32.824,32.991,32.929,32.514,32.992
17,"F17_JPLL_A4_num",2000,1,31.048,31.276,31.118,30.824,31.145
